Model,ElementLabel,X_centroid_mm,Y_centroid_mm,SENER
M18_PWR_n3_L16_nuVar_v1,571,11.5,3.149999976158142,0.04845549911260605
M18_PWR_n3_L16_nuVar_v1,10,12.1875,2.850000023841858,0.04484528303146362
M18_PWR_n3_L16_nuVar_v1,11,12.1875,3.149999976158142,0.04484528303146362
M18_PWR_n3_L16_nuVar_v1,30,12.5625,2.850000023841858,0.03953421488404274
M18_PWR_n3_L16_nuVar_v1,31,12.5625,3.149999976158142,0.03953421488404274
M18_PWR_n3_L16_nuVar_v1,50,12.9375,3.149999976158142,0.029908040538430214
M18_PWR_n3_L16_nuVar_v1,51,12.9375,2.850000023841858,0.029908040538430214
M18_PWR_n3_L16_nuVar_v1,70,13.3125,2.850000023841858,0.01974373869597912
M18_PWR_n3_L16_nuVar_v1,71,13.3125,3.149999976158142,0.01974373869597912
M18_PWR_n3_L16_nuVar_v1,90,13.6875,3.149999976158142,0.012370404787361622
M18_PWR_n3_L16_nuVar_v1,91,13.6875,2.850000023841858,0.012370404787361622
M18_PWR_n3_L16_nuVar_v1,110,14.0625,2.850000023841858,0.007779508363455534
M18_PWR_n3_L16_nuVar_v1,111,14.0625,3.149999976158142,0.007779508363455534
M18_PWR_n3_L16_nuVar_v1,130,14.4375,3.149999976158142,0.004999817814677954
M18_PWR_n3_L16_nuVar_v1,131,14.4375,2.850000023841858,0.004999817814677954
M18_PWR_n3_L16_nuVar_v1,150,14.8125,2.850000023841858,0.003289102576673031
M18_PWR_n3_L16_nuVar_v1,151,14.8125,3.149999976158142,0.003289102576673031
M18_PWR_n3_L16_nuVar_v1,170,15.1875,3.149999976158142,0.0022079269401729107
M18_PWR_n3_L16_nuVar_v1,171,15.1875,2.850000023841858,0.0022079269401729107
M18_PWR_n3_L16_nuVar_v1,190,15.5625,2.850000023841858,0.0015132516855373979
M18_PWR_n3_L16_nuVar_v1,191,15.5625,3.149999976158142,0.0015132516855373979
M18_PWR_n3_L16_nuVar_v1,210,15.9375,3.149999976158142,0.001064526499249041
M18_PWR_n3_L16_nuVar_v1,211,15.9375,2.850000023841858,0.001064526499249041
M18_PWR_n3_L16_nuVar_v1,230,16.3125,2.850000023841858,0.0007735823164694011
M18_PWR_n3_L16_nuVar_v1,231,16.3125,3.149999976158142,0.0007735823164694011
M18_PWR_n3_L16_nuVar_v1,250,16.6875,3.149999976158142,0.0005848598666489124
M18_PWR_n3_L16_nuVar_v1,251,16.6875,2.850000023841858,0.0005848598666489124
M18_PWR_n3_L16_nuVar_v1,290,17.0625,2.850000023841858,0.0004610853211488575
M18_PWR_n3_L16_nuVar_v1,291,17.0625,3.149999976158142,0.0004610853211488575
