law_type,enthesis_length_mm,n_exponent,number_of_layers,predicted_max_vonMises
exponential,6.0606060606060606,0,16,7.0122886603673305
exponential,6.101010101010101,0,16,7.0122886603673305
exponential,6.141414141414142,0,16,7.0122886603673305
exponential,6.181818181818182,0,16,7.0122886603673305
exponential,6.222222222222222,0,16,7.0122886603673305
exponential,6.262626262626263,0,16,7.0122886603673305
exponential,6.303030303030303,0,16,7.0122886603673305
exponential,6.343434343434343,0,16,7.0122886603673305
exponential,6.383838383838384,0,16,7.0122886603673305
exponential,6.424242424242424,0,16,7.0122886603673305
exponential,6.464646464646465,0,16,7.0122886603673305
exponential,6.505050505050505,0,16,7.0122886603673305
exponential,6.545454545454546,0,16,7.0122886603673305
exponential,6.5858585858585865,0,16,7.0122886603673305
exponential,6.626262626262626,0,16,7.0122886603673305
exponential,6.666666666666667,0,16,7.0122886603673305
exponential,6.707070707070708,0,16,7.0122886603673305
exponential,6.747474747474747,0,16,7.0122886603673305
exponential,6.787878787878788,0,16,7.0122886603673305
exponential,6.828282828282829,0,16,7.0122886603673305
exponential,6.8686868686868685,0,16,7.0122886603673305
exponential,6.909090909090909,0,16,7.0122886603673305
exponential,6.94949494949495,0,16,7.0122886603673305
exponential,6.98989898989899,0,16,7.0122886603673305
exponential,7.030303030303031,0,16,6.562057841618856
exponential,7.070707070707071,0,16,6.562057841618856
exponential,7.111111111111111,0,16,6.562057841618856
exponential,7.151515151515152,0,16,6.562057841618856
exponential,7.191919191919192,0,16,6.562057841618856
exponential,7.232323232323233,0,16,6.562057841618856
exponential,7.272727272727273,0,16,6.562057841618856
exponential,7.313131313131313,0,16,6.562057841618856
exponential,7.353535353535354,0,16,6.562057841618856
exponential,7.3939393939393945,0,16,6.562057841618856
exponential,7.434343434343434,0,16,6.562057841618856
exponential,7.474747474747475,0,16,6.562057841618856
exponential,7.515151515151516,0,16,6.562057841618856
exponential,7.555555555555555,0,16,6.562057841618856
exponential,7.595959595959597,0,16,6.562057841618856
exponential,7.636363636363637,0,16,6.562057841618856
exponential,7.6767676767676765,0,16,6.562057841618856
exponential,7.717171717171718,0,16,6.562057841618856
exponential,7.757575757575758,0,16,6.562057841618856
exponential,7.7979797979797985,0,16,6.562057841618856
exponential,7.838383838383839,0,16,6.562057841618856
exponential,7.878787878787879,0,16,6.562057841618856
exponential,7.91919191919192,0,16,6.562057841618856
exponential,7.95959595959596,0,16,6.562057841618856
exponential,8.0,0,16,6.562057841618856
power_law,4.0,3,16,7.424913494202824
power_law,4.040404040404041,3,16,7.424913494202824
power_law,4.08080808080808,3,16,7.424913494202824
power_law,4.121212121212121,3,16,7.424913494202824
power_law,4.161616161616162,3,16,7.424913494202824
power_law,4.202020202020202,3,16,7.424913494202824
power_law,4.242424242424242,3,16,7.424913494202824
power_law,4.282828282828283,3,16,7.424913494202824
power_law,4.3232323232323235,3,16,7.424913494202824
power_law,4.363636363636363,3,16,7.424913494202824
power_law,4.404040404040404,3,16,7.424913494202824
power_law,4.444444444444445,3,16,7.424913494202824
power_law,4.484848484848484,3,16,7.424913494202824
power_law,4.525252525252525,3,16,7.424913494202824
power_law,4.565656565656566,3,16,7.424913494202824
power_law,4.606060606060606,3,16,7.424913494202824
power_law,4.646464646464646,3,16,7.424913494202824
power_law,4.686868686868687,3,16,7.424913494202824
power_law,4.7272727272727275,3,16,7.424913494202824
power_law,4.767676767676768,3,16,7.424913494202824
power_law,4.808080808080808,3,16,7.424913494202824
power_law,4.848484848484849,3,16,7.424913494202824
power_law,4.888888888888889,3,16,7.424913494202824
power_law,4.929292929292929,3,16,7.424913494202824
power_law,4.96969696969697,3,16,7.424913494202824
power_law,5.01010101010101,3,16,6.99756551305453
power_law,5.05050505050505,3,16,6.99756551305453
power_law,5.090909090909091,3,16,6.99756551305453
